,ticker,price,market_cap,shares_buy
166,ETN,156.25,62267606406,N/A
167,ETR,110.97,23458646412,N/A
168,EVRG,63.29,14530316551,N/A
169,EW,83.88,50839689306,N/A
170,EXC,43.06,42807105649,N/A
171,EXPD,105.35,16271958774,N/A
172,EXPE,91.7,13555541679,N/A
173,EXR,162.79,21977835111,N/A
174,F,12.33,48445902183,N/A
175,FANG,140.55,25803620882,N/A
176,FAST,51.48,29393055961,N/A
177,FB,196.64,561210585170,N/A
178,FBHS,57.62,,N/A
179,FCX,40.29,57642648730,N/A
180,FDX,232.1,58338784578,N/A
181,FE,41.7,23862624173,N/A
182,FFIV,146.71,8820299388,N/A
183,FIS,55.43,32810983268,N/A
184,FISV,113.01,70856305347,N/A
185,FITB,26.08,17761890772,N/A
186,FLIR,57.34,7565007314,N/A
187,FLS,32.01,4197084875,N/A
188,FLT,207.68,15262733827,N/A
189,FMC,116.92,14631576333,N/A
190,FOX,30.74,17237068875,N/A
191,FOXA,33.45,17237068890,N/A
192,FRC,14.03,2520444758,N/A
193,FRT,97.74,7951459813,N/A
194,FTI,13.43,5926766628,N/A
195,FTNT,65.52,51372023255,N/A
196,FTV,64.36,22731873674,N/A
197,GD,227.71,62555063231,N/A
198,GE,93.6,102050482248,N/A
199,GILD,83.37,104113794339,N/A
200,GIS,86.9,51041105007,N/A
201,GL,107.74,10399189455,N/A
202,GLW,34.1,28890603834,N/A
203,GM,34.59,48240501647,N/A
204,GOOG,108.9,1295664719956,N/A
205,GOOGL,108.42,1295664719955,N/A
206,GPC,162.28,22850476568,N/A
207,GPN,105.1,27723741176,N/A
208,GPS,9.35,3424079722,N/A
209,GRMN,98.05,18762797210,N/A
210,GS,322.4,107615449323,N/A
211,GWW,641.66,32251567290,N/A
212,HAL,32.71,29533180987,N/A
213,HAS,51.93,7177757174,N/A
214,HBAN,11.19,16221434058,N/A
215,HBI,4.94,1726323923,N/A
216,HCA,270.59,75022319779,N/A
217,HD,288.61,292266398358,N/A
218,HES,140.88,43134698133,N/A
219,HFC,36.39,5931624949,N/A
220,HIG,69.86,21870168657,N/A
221,HII,206.13,8229893817,N/A
222,HLT,140.63,37470956878,N/A
223,HOLX,82.86,20429218014,N/A
224,HON,190.46,127253992396,N/A
225,HPE,15.86,20552482467,N/A
226,HPQ,29.29,28860259522,N/A
227,HRB,34.01,5178943797,N/A
228,HRL,40.31,22030742126,N/A
229,HSIC,84.73,11123652226,N/A
230,HST,16.08,11472743204,N/A
231,HSY,259.87,53294139600,N/A
232,HUM,519.97,64983065121,N/A
233,HWM,41.55,17110465383,N/A
234,IBM,130.5,118377282236,N/A
235,ICE,108.25,60588051961,N/A
236,IDXX,472.52,39206319742,N/A
237,IEX,216.77,16381520468,N/A
238,IFF,91.45,23325920680,N/A
239,ILMN,229.99,36338420000,N/A
240,INCY,75.51,16836088509,N/A
241,INFO,108.61,45801486922,N/A
242,INTC,32.81,135734970000,N/A
243,INTU,446.76,125336906983,N/A
244,IP,35.78,12500305927,N/A
245,IPG,36.99,14245135266,N/A
246,IPGP,115.46,5461787500,N/A
247,IQV,195.83,36452032763,N/A
248,IR,54.46,22053941610,N/A
249,IRM,52.29,15246412460,N/A
250,ISRG,256.9,89981025098,N/A
251,IT,313.75,24805261681,N/A
252,ITW,227.7,69407768341,N/A
253,IVZ,15.82,7193735863,N/A
254,J,112.97,14314894814,N/A
255,JBHT,170.03,17644075331,N/A
256,JCI,55.98,34605473223,N/A
257,JKHY,148.61,10847151939,N/A
258,JNJ,165.15,515241996802,N/A
259,JNPR,33.69,10826070938,N/A
260,JPM,127.47,373673334307,N/A
261,K,67.99,23124078900,N/A
262,KEY,11.91,11015073882,N/A
263,KEYS,155.75,27745106730,N/A
264,KHC,39.14,48024737964,N/A
265,KIM,19.07,11821336836,N/A
266,KLAC,374.66,51882828380,N/A
267,KMB,136.49,46059062883,N/A
268,KMI,17.71,39812488800,N/A
269,KMX,64.33,10165651691,N/A
270,KO,62.84,271865040196,N/A
271,KR,48.52,34811524653,N/A
272,KSS,22.66,2509476760,N/A
273,KSU,293.59,26710947380,N/A
274,L,56.38,13016803708,N/A
275,LB,79.92,21957908112,N/A
276,LDOS,91.41,12525636882,N/A
277,LEG,30.72,4088021176,N/A
278,LEN,102.06,28996291503,N/A
279,LH,232.18,20548148481,N/A
280,LHX,197.01,37423335975,N/A
281,LIN,356.58,0,N/A
282,LKQ,54.41,14543232414,N/A
283,LLY,368.29,349984570188,N/A
284,LMT,490.17,124757550780,N/A
285,LNC,20.51,3470722484,N/A
286,LNT,55.05,13838789171,N/A
287,LOW,198.57,118418462747,N/A
288,LRCX,493.79,66630150642,N/A
289,LUV,31.59,18773512967,N/A
290,LVS,57.01,43571111716,N/A
291,LW,106.86,15374011247,N/A
292,LYB,94.35,30757361523,N/A
293,LYV,69.13,16009903389,N/A
294,MA,361.47,341850492810,N/A
295,MAA,150.26,17520143051,N/A
296,MAR,163.05,50239154975,N/A
297,MAS,47.04,10602626758,N/A
298,MCD,282.89,206933172468,N/A
299,MCHP,78.7,43111537094,N/A
300,MCK,370.09,50679838520,N/A
301,MCO,298.62,54727782808,N/A
302,MDLZ,71.05,96862951621,N/A
303,MDT,80.3,106833023752,N/A
304,MET,59.07,29208145842,N/A
305,MGM,42.98,16026895409,N/A
306,MHK,92.59,5883197303,N/A
307,MKC,85.8,23006977851,N/A
308,MKTX,343.29,12910640503,N/A
309,MLM,338.59,21027641333,N/A
310,MMC,169.38,83853493496,N/A
311,MMM,101.56,56007179250,N/A
312,MNST,52.56,27457835856,N/A
313,MO,44.43,79332600834,N/A
314,MOS,43.67,14694374844,N/A
315,MPC,128.68,57332975993,N/A
316,MRK,112.33,285059141858,N/A
317,MRO,25.52,16068775286,N/A
318,MS,84.19,141602541649,N/A
319,MSCI,533.65,42670648130,N/A
320,MSFT,291.6,2170613110223,N/A
321,MSI,283.46,47408705126,N/A
322,MTB,117.57,19756942250,N/A
323,MTD,1500.92,33125406463,N/A
324,MU,58.56,64087733370,N/A
325,MXIM,103.14,27699922819,N/A
326,MYL,15.855,8586211830,N/A
327,NBL,8.45,4095292500,N/A
328,NCLH,13.08,5518842582,N/A
329,NDAQ,54.9,26846262284,N/A
330,NEE,78.97,159786639771,N/A
331,NEM,52.05,41316980927,N/A
332,NFLX,339.33,149914300065,N/A
333,NI,28.82,11888478946,N/A
334,NKE,120.22,187543200000,N/A
335,NLOK,21.62,12352934758,N/A
336,NLSN,27.98,10068164861,N/A
337,NOC,470.39,71521441484,N/A
338,NOV,18.01,7074895171,N/A
339,NOW,473.13,96045390000,N/A
340,NRG,34.82,8087637326,N/A
341,NSC,205.41,50931184987,N/A
342,NTAP,63.0,13475996793,N/A
343,NTRS,86.73,18018231307,N/A
344,NUE,145.53,36664611651,N/A
345,NVDA,270.37,667813900000,N/A
346,NVR,5468.08,17757704630,N/A
347,NWL,12.14,5027505495,N/A
348,NWS,17.44,9974144600,N/A
349,NWSA,17.27,9974144589,N/A
350,O,62.57,41329903143,N/A
351,ODFL,325.77,35843310101,N/A
352,OKE,65.69,29392317309,N/A
353,OMC,93.05,18741121501,N/A
354,ORCL,95.92,258965007840,N/A
355,ORLY,861.13,53246436433,N/A
356,OTIS,78.49,32563103994,N/A
357,OXY,63.04,56617178300,N/A
358,PAYC,289.45,17455536677,N/A
359,PAYX,109.04,39309888275,N/A
360,PBCT,19.41,8371850392,N/A
361,PCAR,68.49,35789790375,N/A
362,PEAK,21.44,11727522202,N/A
363,PEG,63.31,31577123002,N/A
364,PEP,184.36,253921729796,N/A
365,PFE,41.5,234242698231,N/A
366,PFG,73.42,17839568620,N/A
367,PG,152.22,359108914293,N/A
368,PGR,147.29,86218624126,N/A
369,PH,312.47,40079286394,N/A
370,PHM,57.84,12974151884,N/A
371,PKG,141.15,12687071552,N/A
372,PKI,133.57,16884848836,N/A
373,PLD,122.75,113353444783,N/A
374,PM,99.03,153709203269,N/A
375,PNC,121.88,48713261539,N/A
376,PNR,52.59,8674205328,N/A
377,PNW,80.29,9092961811,N/A
378,PPG,138.07,32495876713,N/A
379,PPL,28.55,21032152732,N/A
380,PRGO,36.69,4957159777,N/A
381,PRU,83.36,30590964560,N/A
382,PSA,310.79,54635432475,N/A
383,PSX,102.84,47708211923,N/A
384,PVH,83.8,5255328701,N/A
385,PWR,159.13,22914803066,N/A
386,PXD,208.16,48918464488,N/A
387,PYPL,74.96,84807742418,N/A
388,QCOM,123.0,137145000000,N/A
389,QRVO,94.73,9462504863,N/A
390,RCL,61.28,15647890712,N/A
391,RE,362.1,14178834794,N/A
392,REG,60.3,10329867998,N/A
393,REGN,828.73,89094596000,N/A
394,RF,18.36,17158552335,N/A
395,RHI,74.01,7970765763,N/A
396,RJF,89.35,19241659295,N/A
397,RL,112.06,7595426800,N/A
398,RMD,221.85,32591853274,N/A
399,ROK,272.15,31238042951,N/A
400,ROL,38.78,19108621705,N/A
401,ROP,435.7,46290194918,N/A
402,ROST,106.22,36332738478,N/A
403,RSG,135.7,42914253128,N/A
404,RTX,98.21,143701664064,N/A
405,SBAC,259.68,28055555834,N/A
406,SBUX,104.68,120308724000,N/A
407,SCHW,49.35,88407977405,N/A
408,SEE,46.87,6747481036,N/A
409,SHW,223.98,57798622244,N/A
410,SIVB,106.04,6277666087,N/A
411,SJM,156.51,16689614915,N/A
412,SLB,49.62,70866764826,N/A
413,SLG,23.55,1515807737,N/A
414,SNA,228.71,12151092880,N/A
415,SNPS,375.92,57253246418,N/A
416,SO,72.31,78738931623,N/A
417,SPG,109.77,35865334977,N/A
418,SPGI,340.86,113506380000,N/A
419,SRE,155.34,48877737214,N/A
420,STE,193.1,19171825943,N/A
421,STT,76.16,25624674714,N/A
422,STX,64.4,13444144000,N/A
423,STZ,224.64,41445679916,N/A
424,SWK,74.29,11370473185,N/A
425,SWKS,111.35,17721703475,N/A
426,SYF,28.62,12262163357,N/A
427,SYK,287.68,109065812357,N/A
428,SYY,77.27,39222562548,N/A
429,T,19.65,140104500000,N/A
430,TAP,52.15,10607003462,N/A
431,TDG,724.32,39546469716,N/A
432,TDY,433.83,20387950175,N/A
433,TEL,123.96,39227962119,N/A
434,TFC,32.74,43483306252,N/A
435,TFX,262.49,12328041817,N/A
436,TGT,165.58,76227069630,N/A
437,TIF,131.46,15960711882,N/A
438,TJX,78.05,89958005611,N/A
439,TMO,575.35,221757194802,N/A
440,TMUS,149.61,182431907087,N/A
441,TPR,40.13,9473715192,N/A
442,TROW,109.22,24521386860,N/A
443,TRV,171.27,39750785794,N/A
444,TSCO,235.63,25894636372,N/A
445,TSN,59.61,21437544300,N/A
446,TT,170.68,39098474063,N/A
447,TTWO,119.0,20072268951,N/A
448,TWTR,53.7,41093718362,N/A
449,TXN,178.12,161413376205,N/A
450,TXT,67.71,13789835392,N/A
451,TYL,352.8,14780673482,N/A
452,UA,8.15,3504312974,N/A
453,UAA,9.05,3504312981,N/A
454,UAL,42.66,13953787252,N/A
455,UDR,40.68,13390456933,N/A
456,UHS,128.08,9346029876,N/A
457,ULTA,520.95,26149131615,N/A
458,UNH,512.81,478373065972,N/A
459,UNM,38.84,7662906029,N/A
460,UNP,198.64,121220727232,N/A
461,UPS,188.58,163106266236,N/A
462,URI,355.27,24650422806,N/A
463,USB,35.75,54761474804,N/A
464,V,225.99,427214789352,N/A
465,VAR,177.07,16261898618,N/A
466,VFC,21.35,8297823705,N/A
467,VIAC,29.58,19317433987,N/A
468,VLO,132.59,49210889345,N/A
469,VMC,164.93,21945075342,N/A
470,VNO,15.36,2947075277,N/A
471,VRSK,190.42,29457182234,N/A
472,VRSN,213.06,22345585149,N/A
473,VRTX,321.66,82696032912,N/A
474,VTR,42.63,17054280577,N/A
475,VZ,39.48,165816000000,N/A
476,WAB,96.36,17343420992,N/A
477,WAT,300.0,17683070100,N/A
478,WBA,35.78,30870830862,N/A
479,WDC,35.15,11224180075,N/A
480,WEC,98.64,31114462138,N/A
481,WELL,71.55,35105577485,N/A
482,WFC,37.9,143151628757,N/A
483,WHR,127.45,6947368578,N/A
484,WLTW,231.56,28853787821,N/A
485,WM,163.66,66571520607,N/A
486,WMB,29.65,36137769722,N/A
487,WMT,150.8,406504914696,N/A
488,WRB,63.1,16623462855,N/A
489,WRK,30.06,7654832597,N/A
490,WST,344.72,25602333027,N/A
491,WU,11.03,4129879899,N/A
492,WY,29.85,21876825603,N/A
493,WYNN,109.12,12404942957,N/A
494,XEL,71.27,39187598113,N/A
495,XLNX,194.92,48414620999,N/A
496,XOM,115.05,468366822869,N/A
497,XRAY,39.54,8515409882,N/A
498,XRX,14.39,2251091548,N/A
499,XYL,100.26,18108740829,N/A
500,YUM,132.1,37002248702,N/A
501,ZBH,129.17,26993979668,N/A
502,ZBRA,300.26,15433166129,N/A
503,ZION,29.39,4352631315,N/A
504,ZTS,168.94,78284551801,N/A
